date_weighed,box_no,date_washed,pot_no,segment_top,segment_bottom,species,weight_g,notes
12/1/2021,2,11/18/2021,3,0,10,comp,3.9839,
12/1/2021,2,11/18/2021,3,10,20,comp,1.7267,
12/1/2021,2,11/18/2021,3,20,end,comp,1.9943,
1/7/2022,8,1/4/2022,5,0,10,comp,4.839,
1/7/2022,8,1/4/2022,5,10,20,comp,1.3795,
1/7/2022,8,1/4/2022,5,20,65,comp,1.8541,
1/18/2022,9,1/6/2022,7,0,10,scam,2.7262,
1/18/2022,9,1/7/2022,7,10,20,scam,1.1658,
1/18/2022,9,1/6/2022,7,20,65,scam,2.3497,
12/3/2021,2,11/17/2021,8,20,64,comp,2.1818,
12/3/2021,2,11/17/2021,8,10,20,comp,2.0196,
12/3/2021,2,11/17/2021,8,0,10,comp,6.3375,
2/9/2022,10,1/10/2022,9,0,10,comp,6.2638,
2/9/2022,10,1/10/2022,9,10,20,comp,2.1078,
2/9/2022,10,1/10/2022,9,20,67,comp,2.9309,
2/9/2022,10,1/10/2022,10,0,10,comp,5.2374,
2/9/2022,10,1/10/2022,10,10,20,comp,1.0478,
2/9/2022,10,1/10/2022,10,20,66,comp,1.2151,
2/9/2022,10,1/10/2022,11,0,10,comp,3.2751,
2/9/2022,10,1/10/2022,11,10,20,comp,2.3508,
2/9/2022,10,1/10/2022,11,20,67,comp,2.3097,
1/7/2022,9,1/5/2022,13,0,10,scam,1.6838,
1/7/2022,9,1/5/2022,13,10,20,scam,1.3108,
1/7/2022,9,1/5/2022,13,20,65,scam,0.439,
1/18/2022,9,1/6/2022,15,0,10,scam,3.5817,
1/18/2022,9,1/6/2022,15,10,20,scam,0.7317,
1/18/2022,9,1/6/2022,15,20,end,scam,1.3077,
2/1/2022,10,1/10/2022,18,0,10,comp,5.0357,
2/1/2022,10,1/10/2022,18,10,20,comp,2.4465,
2/1/2022,10,1/10/2022,18,20,66,comp,3.7485,
12/3/2021,2,11/22/2021,25,0,10,scam,10.1801,
12/3/2021,2,11/22/2021,25,20,end,scam,1.6731,
12/7/2021,3,11/23/2021,25,10,20,scam,1.8944,
12/7/2021,3,11/23/2021,27,0,10,scam,2.9736,
12/7/2021,3,11/23/2021,27,10,20,scam,0.9607,
12/7/2021,3,11/23/2021,27,20,64,scam,0.1701,
12/1/2021,1,11/22/2021,28,0,10,scam,10.7908,
12/1/2021,1,11/22/2021,28,10,20,scam,2.9983,
12/1/2021,1,11/22/2021,28,20,67,scam,2.432,
12/2/2021,2,11/19/2021,29,0,10,scam,2.8925,
12/2/2021,2,11/19/2021,29,10,20,scam,1.8528,
12/2/2021,2,11/19/2021,29,20,end,scam,1.3255,
12/1/2021,1,11/22/2021,33,0,10,scam,8.2782,
12/1/2021,1,11/22/2021,33,10,20,scam,2.0399,
12/1/2021,1,11/22/2021,33,20,end,scam,1.8099,
12/7/2021,3,11/23/2021,34,0,10,comp,10.83,
12/7/2021,3,11/23/2021,34,10,20,comp,2.2436,
12/7/2021,3,11/23/2021,34,20,65,comp,1.8433,
12/1/2021,2,11/19/2021,35,0,10,scam,10.1239,
12/1/2021,2,11/19/2021,35,10,20,scam,2.621,
12/1/2021,2,11/19/2021,35,20,end,scam,2.6438,
12/3/2021,2,11/15/2021,37,0,10,comp,9.6507,
12/3/2021,2,11/15/2021,37,10,20,comp,1.4371,
12/3/2021,2,11/15/2021,37,20,end,comp,1.1575,
12/3/2021,2,11/15/2021,39,0,10,comp,15.4109,0-10 weighed in two measurments (8.9323+6.4786)
12/3/2021,2,11/15/2021,39,10,20,comp,1.7439,
12/3/2021,2,11/15/2021,39,20,end,comp,2.548,
12/1/2021,1,11/10/2021,40,0,10,scam,5.5148,
12/1/2021,1,11/10/2021,40,10,20,scam,1.7376,
12/1/2021,1,11/10/2021,40,20,end,scam,1.0844,
12/1/2021,1,11/22/2021,41,0,10,comp,8.3864,
12/1/2021,1,11/22/2021,41,10,20,comp,2.7125,
12/1/2021,1,11/22/2021,41,20,end,comp,1.1919,
12/7/2021,3,11/23/2021,42,0,10,scam,13.9508,
12/7/2021,3,11/23/2021,42,10,20,scam,2.0675,
12/7/2021,3,11/23/2021,42,20,65,scam,2.1945,
12/1/2021,2,11/22/2021,43,0,10,scam,9.3396,
12/1/2021,2,11/22/2021,43,10,20,scam,2.155,
12/1/2021,2,11/22/2021,43,20,64,scam,1.2056,
12/1/2021,2,11/18/2021,44,0,10,comp,9.481,
12/1/2021,2,11/18/2021,44,10,20,comp,3.8505,
12/1/2021,2,11/17/2021,44,20,66,comp,2.0984,
12/7/2021,3,11/24/2021,45,0,10,scam,5.956,"mislabeled as pot 25, changed to 45"
12/7/2021,3,11/24/2021,45,10,20,scam,2.0396,
12/7/2021,3,11/24/2021,45,20,65,scam,1.0383,
2/10/2022,11,1/13/2022,46,0,10,sppa,4.3926,
2/10/2022,11,1/13/2022,46,10,20,sppa,0.6676,
