date_weighed,box_no,date_washed,pot_no,segment_top,segment_bottom,species,weight_g,notes
7/26/2023,1,7/14/2023,336,0,10,scam,8.515,
7/26/2023,1,7/14/2023,336,20,67,scam,1.592,
7/26/2023,1,7/14/2023,336,10,20,scam,3.114,
7/26/2023,1,7/10/2023,1626,0,10,comp,6.552,
7/26/2023,1,7/10/2023,1626,10,20,comp,0.789,
7/26/2023,1,7/10/2023,1626,20,67,comp,0.285,
7/26/2023,1,7/14/2023,1946,0,10,comp,9.468,
7/26/2023,1,7/14/2023,1946,20,64,comp,1.288,
7/26/2023,1,7/14/2023,1946,10,20,comp,2.725,
7/26/2023,1,7/14/2023,131,0,10,scam,10.149,
7/26/2023,1,7/14/2023,131,10,20,scam,2.05,
7/26/2023,1,7/14/2023,131,20,62,scam,2.146,
7/26/2023,1,7/14/2023,26,20,65,comp,1.701,
7/26/2023,1,7/14/2023,26,10,20,comp,1.725,
7/26/2023,1,7/14/2023,26,0,10,comp,11.726,
7/26/2023,1,7/14/2023,1872,20,66,scam,1.35,
7/26/2023,1,7/14/2023,1872,10,20,scam,2.185,
7/26/2023,1,7/14/2023,1872,0,10,scam,8.385,
7/26/2023,1,7/14/2023,252,20,64,scam,2.635,
7/26/2023,1,7/14/2023,252,0,10,scam,6.69,
7/26/2023,1,7/14/2023,252,10,20,scam,2.709,
7/26/2023,1,7/14/2023,1808,10,20,comp,1.742,
7/26/2023,1,7/14/2023,1808,0,10,comp,10.274,
7/26/2023,1,7/14/2023,1808,20,65,comp,2.587,
7/26/2023,1,7/14/2023,271,0,10,scam,8.268,
7/26/2023,1,7/14/2023,271,10,20,scam,1.823,
7/26/2023,1,7/14/2023,271,20,66,scam,1.355,
7/26/2023,1,7/16/2023,1697,0,10,scam,6.429,
7/26/2023,1,7/16/0202,1697,10,20,scam,1.76,
7/26/2023,1,7/16/2023,1697,20,65,scam,2.659,
7/26/2023,1,7/16/2023,1842,0,10,comp,6.226,
7/26/2023,1,7/16/2023,1842,20,65,comp,2.693,
7/26/2023,1,7/16/2023,1842,10,20,comp,1.744,
7/26/2023,1,7/16/2023,1690,10,20,scam,3.651,
7/26/2023,1,7/16/2023,1690,0,10,scam,6.398,
7/26/2023,1,7/16/2023,1690,20,66,scam,2.639,
7/26/2023,1,7/16/2023,258,0,10,comp,5.233,
7/26/2023,1,7/16/2023,258,20,64,comp,1.146,
7/26/2023,1,7/16/2023,258,10,20,comp,1.541,
7/26/2023,1,7/16/2023,1813,20,63,scam,1.138,
7/26/2023,1,7/16/2023,1813,10,20,scam,1.704,
7/26/2023,1,7/16/2023,1813,0,10,scam,9.114,
7/26/2023,1,7/16/2023,62,10,20,scam,1.588,
7/26/2023,1,7/16/2023,62,20,66,scam,2.273,
7/26/2023,1,7/16/2023,62,0,10,scam,2.705,
7/26/2023,1,7/16/2023,312,20,67,comp,2.05,
7/26/2023,1,7/16/2023,312,0,10,comp,4.548,
7/26/2023,1,7/16/2023,312,10,20,comp,3.837,
7/26/2023,1,7/16/2023,5015,0,10,scam,4.636,
7/26/2023,1,7/16/2023,5015,10,20,scam,3.097,
7/26/2023,1,7/16/2023,5015,20,65,scam,3.514,
7/26/2023,2,6/22/2023,5026,10,20,comp,0.951,
7/26/2023,2,6/22/2023,5026,0,10,comp,7.63,
7/26/2023,2,6/22/2023,5026,20,end,comp,0.575,
7/26/2023,2,6/23/2023,5646,0,10,comp,8.186,
7/26/2023,2,6/23/2023,5646,10,20,comp,1.529,
7/26/2023,2,6/23/2023,5646,20,end,comp,0.763,
7/26/2023,2,6/26/2023,5630,0,10,scam,8.42,
7/26/2023,2,6/26/2023,5630,10,20,scam,1.193,
7/26/2023,2,6/26/2023,5630,20,66,scam,1.086,
7/26/2023,2,6/27/2023,1655,10,20,comp,2.855,
7/26/2023,2,6/27/2023,1655,20,65,comp,3.093,
7/26/2023,2,6/27/2023,1655,0,10,comp,6.564,
7/26/2023,2,6/22/2023,154,0,10,comp,2.74,
7/26/2023,2,6/22/2023,154,10,20,comp,1.261,
7/26/2023,2,6/22/2023,154,20,63,comp,4.98,
7/26/2023,2,6/23/2023,110,20,64,sppa,2.463,
7/26/2023,2,6/23/2023,110,10,20,sppa,2.076,
7/26/2023,2,6/23/2023,110,0,10,sppa,6.718,
7/26/2023,2,6/23/2023,5645,10,20,scam,1.687,
7/26/2023,2,6/23/2023,5645,0,10,scam,5.781,
7/26/2023,2,6/23/2023,5645,20,68,scam,1.321,
7/26/2023,2,6/22/2023,153,20,62,comp,1.794,
7/26/2023,2,6/22/2023,153,10,20,comp,1.585,
7/26/2023,2,6/22/2023,153,0,10,comp,6.505,
7/26/2023,2,6/23/2023,5633,0,10,comp,8.552,
7/26/2023,2,6/23/2023,5633,10,20,comp,1.671,
7/26/2023,2,6/23/2023,5633,20,69,comp,1.348,
7/26/2023,2,6/23/2023,100,10,20,scam,4.119,
7/26/2023,2,6/23/2023,100,20,62,scam,3.623,
7/26/2023,2,6/23/2023,100,0,10,scam,4.119,
7/26/2023,3,6/27/2023,1619,0,10,comp,13.14,
7/26/2023,3,6/27/2023,1619,10,20,comp,1.22,
7/26/2023,3,6/27/2023,1619,20,66,comp,1.99,
7/26/2023,3,7/19/2023,1866,0,10,scam,5.019,
7/26/2023,3,7/19/2023,1866,20,64,scam,0.387,
7/26/2023,3,7/19/2023,1866,10,20,scam,0.955,
7/26/2023,3,7/17/2023,5632,0,10,comp,5.784,
7/26/2023,3,7/17/2023,5632,10,20,comp,1.475,
7/26/2023,3,7/17/2023,5632,20,67,comp,0.716,
7/26/2023,3,6/26/2023,1886,20,64,scam,2.715,
7/26/2023,3,6/26/2023,1886,10,20,scam,1.814,
7/26/2023,3,6/26/2023,1886,0,10,scam,3.058,
7/26/2023,3,7/18/2023,1647,20,63,comp,1.973,
7/26/2023,3,7/18/2023,1647,10,20,comp,1.901,
7/26/2023,3,7/18/2023,1647,0,10,comp,8.078,
7/26/2023,3,7/17/2023,246,20,63,comp,2.599,
7/26/2023,3,7/17/2023,246,0,10,comp,6.238,
7/26/2023,3,7/17/2023,246,10,20,comp,1.645,
7/26/2023,3,7/17/2023,1814,0,10,comp,6.197,
7/26/2023,3,7/17/2023,1814,20,24,comp,0.652,
7/26/2023,3,7/17/2023,1814,10,20,comp,1.286,
7/26/2023,3,7/17/2023,282,10,20,comp,1.799,
7/26/2023,3,7/17/2023,282,20,66,comp,1.178,
7/26/2023,3,7/17/2023,282,0,10,comp,9.987,
7/26/2023,3,7/19/2023,55,0,10,comp,4.321,
7/26/2023,3,7/19/2023,55,20,63,comp,2.095,
7/26/2023,3,7/19/2023,55,10,20,comp,1.425,
7/26/2023,3,7/19/2023,1841,10,20,comp,2.395,
