pot_no,site_frame,pot_id,gt,comp,init_ht,init_wd,nodes,init_wt,nd_genotype,cohort,provenance,age_cohort,source_depth,species,seed_year,elev_bi,salinity,scam_plant_grp,sppa_plant_grp,flux,herbivory,nest,scam_live_density,max_sppa_height,soil_to_pot,max_ht,mean_ht,mean_wd,agb_scam,agb_sppa,tot_agb,tot_bgb,rsr,beta
1,fresh_1,fresh_1_1_1,cm5,0,7.5,1.9,2,0.2148,1036,corn_modern,corn,modern,0,scam,2017,1,0,1,NA,0,0,0,27,NA,6,48,37.333333333333336,2.522222222222222,3.384,NA,3.384,NA,NA,NA
2,fresh_1,fresh_1_1_2,ca4,0,14.5,1.9,1,0.619,349,corn_ancestral,corn,ancestral,15,scam,1938,1,0,1,NA,0,1,0,18,NA,7.5,69,37.27777777777778,2.305555555555556,2.4501,NA,2.4501,NA,NA,NA
3,fresh_1,fresh_1_1_3,cm4,1,15,3,1,1.3707,1034,corn_modern,corn,modern,0,comp,2017,1,0,1,1,1,0,0,0,70.5,7,NA,NA,NA,NA,7.1039,7.1039,7.7049,1.0846014161235378,0.9321151768996664
4,fresh_1,fresh_1_1_4,ca6,0,15,2.4,1,1.219,1028,corn_ancestral,corn,ancestral,20.75,scam,1872,1,0,1,NA,0,1,0,9,NA,7,73.5,57.44444444444444,3.522222222222222,2.3359,NA,2.3359,NA,NA,NA
5,fresh_1,fresh_1_1_5,cm6,1,15,3.4,2,1.0763,1041,corn_modern,corn,modern,0,comp,2017,1,0,1,1,0,0,0,13,48,4.5,68.5,39.25,2.4916666666666667,2.5826,2.7785,5.3611,8.072600000000001,1.5057730689597286,0.920187268218077
6,fresh_1,fresh_1_1_6,ca4,1,15,3.3,2,1.7408,349,corn_ancestral,corn,ancestral,15,comp,1938,1,0,1,1,0,0,0,19,73,6,69,43.3235294117647,2.9823529411764707,4.2473,4.3013,8.5486,NA,NA,NA
7,fresh_1,fresh_1_1_7,ca1,0,15,2.3,1,1.062,272,corn_ancestral,corn,ancestral,16.75,scam,1920,1,0,1,NA,0,0,0,14,NA,6,64.5,47.38461538461539,2.5923076923076924,2.4832,NA,2.4832,6.2417,2.513571198453608,0.948297518668139
8,fresh_1,fresh_1_1_8,ca2,1,15,2.3,3,0.6822,304,corn_ancestral,corn,ancestral,15,comp,1938,1,0,1,1,1,0,0,19,81.5,7,67.5,41.5,2.405263157894737,2.8886,5.229,8.1176,10.5389,1.2982778161032815,0.9174515937688634
9,fresh_1,fresh_1_2_1,ca2,1,15,2.5,3,1.0364,304,corn_ancestral,corn,ancestral,15,comp,1938,1,0,1,1,0,0,0,21,69,5,57.5,40.54761904761905,2.0952380952380953,2.8392999999999997,4.1418,6.9811,11.3025,1.619014195470628,0.928485865477814
10,fresh_1,fresh_1_2_2,bm5,1,5.5,1.9,2,0.9427,447,blackwater_modern,blackwater,modern,2,comp,2014,1,0,1,1,0,0,0,10,62.5,4.5,52,37.5,2.68,1.427,5.5782,7.0052,7.5003,1.0706760692057329,0.8964155905409319
11,fresh_1,fresh_1_2_3,ca1,1,15,2.2,1,0.5074,272,corn_ancestral,corn,ancestral,16.75,comp,1920,1,0,1,1,0,0,0,11,60.5,4,66.5,48.125,2.625,2.0582,3.0339,5.0921,8.0604,1.5829225663282338,0.9434557970699567
12,fresh_1,fresh_1_2_4,bm1,1,15,3.5,1,0.8662,413,blackwater_modern,blackwater,modern,4,comp,2011,1,0,1,1,0,0,0,13,60,5.5,53,35.875,3.033333333333333,2.3275,3.9708,6.2983,NA,NA,NA
