pot_id,gt,spcs,comp,timestamp_start,fDOY,flux_CH4,R2_CH4,p_CH4,chamber,air_temp_average,air_temp_se,salinity,soil_temp,water_to_pot
,,,,,,umol/m2/day,,,,°C,,ppt,°C,cm
fresh_5_4_1,ca6,comp,1,10/1/21 13:43,273.5717014,30432.8069506084,0.99833386284943,0,B,18.8915492957746,0.00533335911059753,5.37,19.3,18
fresh_5_4_4,ba7,comp,1,10/1/21 13:54,273.5804977,21247.8091091288,0.994079793789117,0,B,18.8576271186441,0.00288193237632877,5.37,21.3,18.5
fresh_5_5_4,ca1,comp,1,10/1/21 14:04,273.5867014,21750.4967272767,0.990671479326374,3.41315752229754e-281,B,18.843321299639,0.00298267640821376,5.37,22.4,19.5
fresh_5_3_5,ba7,comp,1,10/1/21 14:12,273.5940046,30488.3121382799,0.9917061689875,3.57609407506712e-162,B,18.2,0,5.37,22.5,39
fresh_5_4_7,na,sppa,sppa,10/1/21 14:22,273.6,4914.77744167931,0.962895216899554,1.44647944119252e-186,B,18.1923076923077,0.00453448553014532,5.36,22,20
fresh_5_4_8,ca5,scam,0,10/1/21 14:31,273.6067014,37108.7253199724,0.977835921685989,5.78076319023339e-237,B,18.2297202797203,0.00270719181581881,5.36,22.1,21
fresh_5_5_5,bm3,comp,1,10/1/21 14:43,273.6140046,36329.9051362485,0.994085948513078,2.07662946099785e-308,B,18.1772563176895,0.00431990461811866,5.36,21.5,22
fresh_5_5_7,ca6,scam,0,10/1/21 14:53,273.6209954,41250.7668128643,0.999480000501994,0,B,18.3592105263158,0.00282326859526508,5.36,20.7,23
fresh_5_6_6,ba2,comp,1,10/1/21 15:03,273.6290046,36719.4213500108,0.998551070734593,3.53264596038528e-307,B,18.489400921659,0.00209448943263921,5.36,22,25.5
