Identifier 1,Corr d13C,Corr d15N
Protein_std,-26.932505,5.9746492
Sorghumflour_std,-13.633859,1.9237048
Peachleaves_std,-25.9149965,2.0202248
BG2023_26_COMP_mill_TOP,-27.0555665,2.0385636
BG2023_26_COMP_mill_MID,-25.1606195,2.2731072
BG2023_26_COMP_mill_BTM,-29.1426095,2.0327724
BG2023_258_COMP_mill_TOP,-15.554819,1.5327988
BG2023_258_COMP_mill_MID,-17.403743,1.8165676
BG2023_258_COMP_mill_BTM,-16.121102,2.6910388
BG2023_1626_COMP_mill_TOP,-18.954518,1.2239348
BG2023_1626_COMP_mill_MID,-18.0330575,1.234552
BG2023_1626_COMP_mill_BTM,-20.6303555,0.9218272
BG2023_312_COMP_mill_TOP,-21.769925,1.0299296
BG2023_312_COMP_mill_MID,-26.2691735,0.5473296
BG2023_312_COMP_mill_BTM,-23.394737,1.075294
BG2023_5633_COMP_mill_TOP,-22.5172985,1.0569552
BG2023_5633_COMP_mill_MID,-22.4972885,1.1110064
BG2023_5633_COMP_mill_BTM,-24.9215,0.636128
BG2023_154_COMP_mill_TOP,-21.3867335,1.6148408
BG2023_154_COMP_mill_MID,-23.162621,1.1389972
BG2023_154_COMP_mill_BTM,-28.073075,2.3628708
Protein_std,-26.992535,5.9466584
Sorghumflour_std,-13.7589215,1.5945716
Peachleaves_std,-25.924001,1.915018
BG2023_153_COMP_mill_TOP,-16.35722,4.574144
BG2023_153_COMP_mill_MID,-18.4112465,5.6291076
BG2023_153_COMP_mill_BTM,-16.2541685,4.7276108
BG2023_1655_COMP_mill_TOP,-16.9345085,1.2692992
BG2023_1655_COMP_mill_MID,-16.941512,0.4701136
BG2023_1655_COMP_mill_BTM,-16.3081955,1.1592664
BG2023_5646_COMP_mill_TOP,-19.5758285,0.6303368
BG2023_5646_COMP_mill_MID,-15.686885,0.4015844
BG2023_5646_COMP_mill_BTM,-19.000541,0.5675988
BG2023_55_COMP_mill_TOP,-19.5017915,1.186292
BG2023_55_COMP_mill_MID,-20.5543175,0.6110328
BG2023_55_COMP_mill_BTM,-23.888984,1.3465152
BG2023_246_COMP_mill_TOP,-17.1346085,2.2895156
BG2023_246_COMP_mill_MID,-15.0695765,0.940166
BG2023_246_COMP_mill_BTM,-15.2656745,2.7808024
BG2023_1808_COMP_mill_TOP,-23.122601,0.6592928
BG2023_1808_COMP_mill_MID,-24.0940865,-0.1283104
BG2023_1808_COMP_mill_BTM,-23.8519655,0.6515712
Protein_std,-27.034556,5.8897116
Sorghumflour_std,-13.649867,1.4961212
Peachleaves_std,-25.986032,1.9188788
Protein_std,-27.0375887,5.9642888
Sorghumflour_std,-13.8986721,1.8359348
Peachleaves_std,-25.9495253,1.92821
BG2023_1841_COMP_mill_MID,-18.5024026,0.6680768
BG2023_1841_COMP_mill_BTM,-21.283677,0.6104048
BG2023_5632_COMP_mill_TOP,-18.5044064,0.9564368
BG2023_5632_COMP_mill_MID,-19.2568333,0.4950608
BG2023_5632_COMP_mill_BTM,-18.8751094,1.3957052
BG2023_1619_COMP_mill_TOP,-26.0246678,1.0660136
BG2023_1619_COMP_mill_MID,-23.6762142,0.7017188
BG2023_1619_COMP_mill_BTM,-26.4454658,0.842054
BG2023_282_COMP_mill_TOP,-23.7052693,2.0743124
BG2023_282_COMP_mill_MID,-25.2542067,0.4969832
BG2023_282_COMP_mill_BTM,-27.5044741,1.4783684
BG2023_164_COMP_mill_TOP,-21.5622052,1.389938
BG2023_164_COMP_mill_MID,-22.9528424,1.5494972
BG2023_164_COMP_mill_BTM,-24.5829337,2.07239
BG2023_137_COMP_mill_TOP,-28.5835204,2.2252208
BG2023_137_COMP_mill_MID,-28.1006046,1.7657672
BG2023_137_COMP_mill_BTM,-29.0934875,1.538924
