Row,Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
5,Peachleaves_std,4,-24.445,0.974,-25.73,2.03,,,,,,Protein Std 1,-25.75,-26.98,5.227,5.94
6,BG2023_181_COMP_TOP,4,-25.325,-0.481,-26.62,0.7,,,,,,Protein Std 2,-25.782,-26.98,5.241,5.94
7,BG2023_292_SCAM_composite,4,-28.038,-0.566,-29.34,0.62,,,,,,Sorghum Std 1,-12.344,-13.68,0.539,1.58
8,BG2023_324_COMP_TOP,4,-21.72,-0.317,-22.99,0.85,,,,,,Sorghum Std 2,-12.601,-13.68,0.544,1.58
9,BG2023_88_COMP_TOP,4,-18.522,0.696,-19.77,1.78,,,,,,Peach Leaf Std 1,-24.521,-25.95,0.93,2.04
10,BG2023_281_COMP_TOP,4,-23.614,-0.114,-24.89,1.04,,,,,,Peach Leaf Std 2,-24.631,-25.95,0.895,2.04
11,BG2023_94_COMP_TOP,4,-25.539,-1.05,-26.83,0.18,,,,,,,,,,
12,BG2023_243_COMP_TOP,4,-26.152,0.549,-27.45,1.64,,,,,,,,,,
13,BG2023_186_COMP_TOP,4,-26.068,-0.831,-27.36,0.38,,,,,,,,,,
14,BG2023_196_SCAM_composite,4,-28.069,-1.026,-29.37,0.2,,,,,,,,,,
15,BG2023_335_COMP_TOP,4,-27.388,0.203,-28.69,1.33,,,,,,,,,,
16,BG2023_34_COMP_TOP,4,-27.288,-0.57,-28.59,0.62,,,,,,,,,,
17,BG2023_37_COMP_TOP,4,-23.529,-0.192,-24.81,0.96,,,,,,,,,,
18,BG2023_338_COMP_TOP,4,-23.765,-0.683,-25.05,0.51,,,,,,,,,,
19,BG2023_130_SPPA_composite,4,-12.945,0.505,-14.16,1.6,,,,,,,,,,
20,BG2023_182_COMP_TOP,4,-25.324,-0.348,-26.61,0.82,,,,,,,,,,
21,BG2023_170_SPPA_composite,4,-12.686,0.489,-13.9,1.59,,,,,,,,,,
22,BG2023_233_COMP_TOP,4,-27.055,0.45,-28.35,1.55,,,,,,,,,,
23,BG2023_96_COMP_TOP,4,-14.57,-0.25,-15.8,0.91,,,,,,,,,,
25,Protein_std,4,-25.75,5.227,-27.04,5.94,,,,,,,,,,
26,Sorghumflour_std,4,-12.344,0.539,-13.56,1.64,,,,,,,,,,
27,Peachleaves_std,4,-24.521,0.93,-25.81,1.99,,,,,,,,,,
30,BG2023_186_COMP_coarse_TOP,4,-26.033,-0.35,-27.33,0.82,,,,,,,,,,
31,BG2023_181_COMP_coarse_TOP,4,-26.11,-0.825,-27.4,0.38,,,,,,,,,,
32,BG2023_170_SPPA_coarse_composite,4,-13.839,1.848,-15.06,2.84,,,,,,,,,,
33,BG2023_338_COMP_coarse_TOP,4,-22.093,-0.624,-23.36,0.57,,,,,,,,,,
34,BG2023_233_COMP_coarse_TOP,4,-25.642,0.84,-26.93,1.91,,,,,,,,,,
35,BG2023_96_COMP_coarse_TOP,4,-17.365,0.889,-18.61,1.96,,,,,,,,,,
36,BG2023_292_SCAM_coarse_composite,4,-28.204,0.399,-29.51,1.51,,,,,,,,,,
37,BG2023_324_COMP_coarse_TOP,4,-22.474,0.607,-23.75,1.7,,,,,,,,,,
38,BG2023_182_COMP_coarse_TOP,4,-25.693,0.221,-26.99,1.34,,,,,,,,,,
39,BG2023_130_SPPA_coarse_composite,4,-13.151,1.571,-14.37,2.58,,,,,,,,,,
40,BG2023_94_COMP_coarse_TOP,4,-26.224,-0.657,-27.52,0.54,,,,,,,,,,
41,BG2023_34_COMP_coarse_TOP,4,-26.122,1.036,-27.42,2.09,,,,,,,,,,
42,BG2023_196_SCAM_coarse_composite,4,-28.185,1.188,-29.49,2.23,,,,,,,,,,
43,BG2023_281_COMP_coarse_TOP,4,-22.913,0.325,-24.19,1.44,,,,,,,,,,
44,BG2023_88_COMP_coarse_TOP,4,-19.257,0.998,-20.51,2.06,,,,,,,,,,
45,BG2023_335_COMP_coarse_TOP,4,-24.535,0.693,-25.82,1.78,,,,,,,,,,
47,Protein_std,4,-25.782,5.241,-27.07,5.95,,,,,,,,,,
48,Sorghumflour_std,4,-12.601,0.544,-13.82,1.64,,,,,,,,,,
49,Peachleaves_std,4,-24.631,0.895,-25.92,1.96,,,,,,,,,,
