Row,Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
3,Protein_std,4,-25.41,5.421,-26.932505,5.9746492,,,,,,Protein Std 1,-25.41,-26.98,5.421,5.94
4,Sorghumflour_std,4,-12.118,1.224,-13.633859,1.9237048,,,,,,Protein Std 2,-25.47,-26.98,5.392,5.94
5,Peachleaves_std,4,-24.393,1.324,-25.9149965,2.0202248,,,,,,Protein Std 3,-25.512,-26.98,5.333,5.94
6,BG2023_26_COMP_mill_TOP,4,-25.533,1.343,-27.0555665,2.0385636,,,,,,Sorghum Std 1,-12.118,-13.68,1.224,1.58
7,BG2023_26_COMP_mill_MID,4,-23.639,1.586,-25.1606195,2.2731072,,,,,,Sorghum Std 2,-12.243,-13.68,0.883,1.58
8,BG2023_26_COMP_mill_BTM,4,-27.619,1.337,-29.1426095,2.0327724,,,,,,Sorghum Std 3,-12.134,-13.68,0.781,1.58
9,BG2023_258_COMP_mill_TOP,4,-14.038,0.819,-15.554819,1.5327988,,,,,,Peach Leaf Std 1,-24.393,-25.95,1.324,2.04
10,BG2023_258_COMP_mill_MID,4,-15.886,1.113,-17.403743,1.8165676,,,,,,Peach Leaf Std 2,-24.402,-25.95,1.215,2.04
11,BG2023_258_COMP_mill_BTM,4,-14.604,2.019,-16.121102,2.6910388,,,,,,Peach Leaf Std 3,-24.464,-25.95,1.219,2.04
12,BG2023_1626_COMP_mill_TOP,4,-17.436,0.499,-18.954518,1.2239348,,,,,,,,,,
13,BG2023_1626_COMP_mill_MID,4,-16.515,0.51,-18.0330575,1.234552,,,,,,,,,,
14,BG2023_1626_COMP_mill_BTM,4,-19.111,0.186,-20.6303555,0.9218272,,,,,,,,,,
15,BG2023_312_COMP_mill_TOP,4,-20.25,0.298,-21.769925,1.0299296,,,,,,,,,,
16,BG2023_312_COMP_mill_MID,4,-24.747,-0.202,-26.2691735,0.5473296,,,,,,,,,,
17,BG2023_312_COMP_mill_BTM,4,-21.874,0.345,-23.394737,1.075294,,,,,,,,,,
18,BG2023_5633_COMP_mill_TOP,4,-20.997,0.326,-22.5172985,1.0569552,,,,,,,,,,
19,BG2023_5633_COMP_mill_MID,4,-20.977,0.382,-22.4972885,1.1110064,,,,,,,,,,
20,BG2023_5633_COMP_mill_BTM,4,-23.4,-0.11,-24.9215,0.636128,,,,,,,,,,
21,BG2023_154_COMP_mill_TOP,4,-19.867,0.904,-21.3867335,1.6148408,,,,,,,,,,
22,BG2023_154_COMP_mill_MID,4,-21.642,0.411,-23.162621,1.1389972,,,,,,,,,,
23,BG2023_154_COMP_mill_BTM,4,-26.55,1.679,-28.073075,2.3628708,,,,,,,,,,
25,Protein_std,4,-25.47,5.392,-26.992535,5.9466584,,,,,,,,,,
26,Sorghumflour_std,4,-12.243,0.883,-13.7589215,1.5945716,,,,,,,,,,
27,Peachleaves_std,4,-24.402,1.215,-25.924001,1.915018,,,,,,,,,,
28,BG2023_153_COMP_mill_TOP,4,-14.84,3.97,-16.35722,4.574144,,,,,,,,,,
29,BG2023_153_COMP_mill_MID,4,-16.893,5.063,-18.4112465,5.6291076,,,,,,,,,,
30,BG2023_153_COMP_mill_BTM,4,-14.737,4.129,-16.2541685,4.7276108,,,,,,,,,,
31,BG2023_1655_COMP_mill_TOP,4,-15.417,0.546,-16.9345085,1.2692992,,,,,,,,,,
32,BG2023_1655_COMP_mill_MID,4,-15.424,-0.282,-16.941512,0.4701136,,,,,,,,,,
33,BG2023_1655_COMP_mill_BTM,4,-14.791,0.432,-16.3081955,1.1592664,,,,,,,,,,
34,BG2023_5646_COMP_mill_TOP,4,-18.057,-0.116,-19.5758285,0.6303368,,,,,,,,,,
35,BG2023_5646_COMP_mill_MID,4,-14.17,-0.353,-15.686885,0.4015844,,,,,,,,,,
36,BG2023_5646_COMP_mill_BTM,4,-17.482,-0.181,-19.000541,0.5675988,,,,,,,,,,
37,BG2023_55_COMP_mill_TOP,4,-17.983,0.46,-19.5017915,1.186292,,,,,,,,,,
38,BG2023_55_COMP_mill_MID,4,-19.035,-0.136,-20.5543175,0.6110328,,,,,,,,,,
39,BG2023_55_COMP_mill_BTM,4,-22.368,0.626,-23.888984,1.3465152,,,,,,,,,,
40,BG2023_246_COMP_mill_TOP,4,-15.617,1.603,-17.1346085,2.2895156,,,,,,,,,,
41,BG2023_246_COMP_mill_MID,4,-13.553,0.205,-15.0695765,0.940166,,,,,,,,,,
42,BG2023_246_COMP_mill_BTM,4,-13.749,2.112,-15.2656745,2.7808024,,,,,,,,,,
43,BG2023_1808_COMP_mill_TOP,4,-21.602,-0.086,-23.122601,0.6592928,,,,,,,,,,
44,BG2023_1808_COMP_mill_MID,4,-22.573,-0.902,-24.0940865,-0.1283104,,,,,,,,,,
45,BG2023_1808_COMP_mill_BTM,4,-22.331,-0.094,-23.8519655,0.6515712,,,,,,,,,,
47,Protein_std,4,-25.512,5.333,-27.034556,5.8897116,,,,,,,,,,
48,Sorghumflour_std,4,-12.134,0.781,-13.649867,1.4961212,,,,,,,,,,
49,Peachleaves_std,4,-24.464,1.219,-25.986032,1.9188788,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
