Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp,,,,
Protein_std,4,-25.573,5.374,-27.0375887,5.9642888,,,,,,Protein Std 1,-25.573,-26.98,5.374,5.94,,,,
Sorghumflour_std,4,-12.459,1.079,-13.8986721,1.8359348,,,,,,Protein Std 2,-25.57,-26.98,5.371,5.94,,,,
Peachleaves_std,4,-24.487,1.175,-25.9495253,1.92821,,,,,,Protein Std 3,-25.549,-26.98,5.311,5.94,,,,
BG2023_1841_COMP_mill_MID,4,-17.054,-0.136,-18.5024026,0.6680768,,,,,,Sorghum Std 1,-12.459,-13.68,1.079,1.58,,,,
BG2023_1841_COMP_mill_BTM,4,-19.83,-0.196,-21.283677,0.6104048,,,,,,Sorghum Std 2,-12.311,-13.68,0.924,1.58,,,,
BG2023_5632_COMP_mill_TOP,4,-17.056,0.164,-18.5044064,0.9564368,,,,,,Sorghum Std 3,-11.976,-13.68,0.86,1.58,,,,
BG2023_5632_COMP_mill_MID,4,-17.807,-0.316,-19.2568333,0.4950608,,,,,,Peach Leaf Std 1,-24.487,-25.95,1.175,2.04,,,,
BG2023_5632_COMP_mill_BTM,4,-17.426,0.621,-18.8751094,1.3957052,,,,,,Peach Leaf Std 2,-24.406,-25.95,1.058,2.04,,,,
BG2023_1619_COMP_mill_TOP,4,-24.562,0.278,-26.0246678,1.0660136,,,,,,Peach Leaf Std 3,-24.399,-25.95,1.206,2.04,,,,
BG2023_1619_COMP_mill_MID,4,-22.218,-0.101,-23.6762142,0.7017188,,,,,,,,,,,,,,
BG2023_1619_COMP_mill_BTM,4,-24.982,0.045,-26.4454658,0.842054,,,,,,,,,,,,,,
BG2023_282_COMP_mill_TOP,4,-22.247,1.327,-23.7052693,2.0743124,,,,,,,,,,,,,,
BG2023_282_COMP_mill_MID,4,-23.793,-0.314,-25.2542067,0.4969832,,,,,,,,,,,,,,
BG2023_282_COMP_mill_BTM,4,-26.039,0.707,-27.5044741,1.4783684,,,,,,,,,,,,,,
BG2023_164_COMP_mill_TOP,4,-20.108,0.615,-21.5622052,1.389938,,,,,,,,,,,,,,
BG2023_164_COMP_mill_MID,4,-21.496,0.781,-22.9528424,1.5494972,,,,,,,,,,,,,,
BG2023_164_COMP_mill_BTM,4,-23.123,1.325,-24.5829337,2.07239,,,,,,,,,,,,,,
BG2023_137_COMP_mill_TOP,4,-27.116,1.484,-28.5835204,2.2252208,,,,,,,,,,,,,,
BG2023_137_COMP_mill_MID,4,-26.634,1.006,-28.1006046,1.7657672,,,,,,,,,,,,,,
BG2023_137_COMP_mill_BTM,4,-27.625,0.77,-29.0934875,1.538924,,,,,,,,,,,,,,
Protein_std,4,-25.57,5.371,-27.034583,5.9614052,,,,,,,,,,,,,,
Sorghumflour_std,4,-12.311,0.924,-13.7503909,1.6869488,,,,,,,,,,,,,,
Peachleaves_std,4,-24.406,1.058,-25.8683714,1.8157496,,,,,,,,,,,,,,
BG2023_97_COMP_mill_TOP,4,-17.376,1.188,-18.8250144,1.9407056,,,,,,,,,,,,,,
BG2023_97_COMP_mill_MID,4,-20.61,0.874,-22.065159,1.6388888,,,,,,,,,,,,,,
BG2023_97_COMP_mill_BTM,4,-22.059,2.039,-23.5169121,2.7586868,,,,,,,,,,,,,,
BG2023_224_COMP_mill_TOP,4,-26.398,1.25,-27.8641562,2.0003,,,,,,,,,,,,,,
BG2023_224_COMP_mill_MID,4,-27.465,1.908,-28.9331835,2.6327696,,,,,,,,,,,,,,
BG2023_224_COMP_mill_BTM,4,-27.703,1.233,-29.1716357,1.9839596,,,,,,,,,,,,,,
BG2023_1617_COMP_mill_TOP,4,-23.71,0.2,-25.171049,0.99104,,,,,,,,,,,,,,
BG2023_1617_COMP_mill_MID,4,-23.632,1.004,-25.0929008,1.7638448,,,,,,,,,,,,,,
BG2023_1617_COMP_mill_BTM,4,-25.041,0.466,-26.5045779,1.2467192,,,,,,,,,,,,,,
BG2023_87_COMP_mill_TOP,4,-25.474,-0.071,-26.9384006,0.7305548,,,,,,,,,,,,,,
BG2023_87_COMP_mill_MID,4,-26.473,0.793,-27.9392987,1.5610316,,,,,,,,,,,,,,
BG2023_87_COMP_mill_BTM,4,-26.532,0.682,-27.9984108,1.4543384,,,,,,,,,,,,,,
BG2023_6_COMP_mill_TOP,4,-22.471,1.059,-23.9296949,1.8167108,,,,,,,,,,,,,,
BG2023_6_COMP_mill_MID,4,-22.177,0.824,-23.6351363,1.5908288,,,,,,,,,,,,,,
BG2023_6_COMP_mill_BTM,4,-20.695,1.473,-22.1503205,2.2146476,,,,,,,,,,,,,,
BG2023_172_COMP_mill_TOP,4,-25.768,0.363,-27.2329592,1.1477156,,,,,,,,,,,,,,
BG2023_172_COMP_mill_MID,4,-26.757,0.368,-28.2238383,1.1525216,,,,,,,,,,,,,,
BG2023_172_COMP_mill_BTM,4,-27.533,0.551,-29.0013127,1.3284212,,,,,,,,,,,,,,
Protein_std,4,-25.549,5.311,-27.0135431,5.9037332,,,,,,,,,,,,,,
Sorghumflour_std,4,-11.976,0.86,-13.4147544,1.625432,,,,,,,,,,,,,,
Peachleaves_std,4,-24.399,1.206,-25.8613581,1.9580072,,,,,,,,,,,,,,
