Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
Protein_std,4,-25.538,5.461,-26.9712906,6.1749302,,,,,,Protein Std 1,-25.538,-26.98,5.461,5.94
Sorghumflour_std,4,-12.418,1.068,-13.8027466,1.9655576,,,,,,Protein Std 2,-25.475,-26.98,5.121,5.94
Peachleaves_std,4,-24.372,1.212,-25.8009764,2.1035384,,,,,,Protein Std 3,-25.537,-26.98,5.016,5.94
BG2023_246_COMP_mill_TOP,4,-15.29,0.315,-16.685373,1.244033,,,,,,Sorghum Std 1,-12.418,-13.68,1.068,1.58
BG2023_246_COMP_mill_MID,4,-14.085,0.115,-15.4759145,1.052393,,,,,,Sorghum Std 2,-12.254,-13.68,0.821,1.58
BG2023_246_COMP_mill_BTM,4,-13.324,1.852,-14.7120988,2.7167864,,,,,,Sorghum Std 3,-12.215,-13.68,0.666,1.58
BG2023_1841_COMP_mill_TOP,4,-18.833,-0.605,-20.2414821,0.362489,,,,,,Peach Leaf Std 1,-24.372,-25.95,1.212,2.04
BG2023_1841_COMP_mill_MID,4,-20.203,-0.803,-21.6165511,0.1727654,,,,,,Peach Leaf Std 2,-24.55,-25.95,0.847,2.04
BG2023_1841_COMP_mill_BTM,4,-22.071,-0.502,-23.4914627,0.4611836,,,,,,Peach Leaf Std 3,-24.728,-25.95,0.868,2.04
BG2023_1647_COMP_mill_TOP,4,-16.815,-0.882,-18.2160155,0.0970676,,,,,,,,,,
BG2023_1647_COMP_mill_MID,4,-14.702,-0.345,-16.0951974,0.611621,,,,,,,,,,
BG2023_1647_COMP_mill_BTM,4,-14.09,-0.145,-15.480933,0.803261,,,,,,,,,,
BG2023_5026_COMP_mill_TOP,4,-17.941,0.034,-19.3461817,0.9747788,,,,,,,,,,
BG2023_5026_COMP_mill_MID,4,-19.834,-0.014,-21.2461858,0.9287852,,,,,,,,,,
BG2023_5026_COMP_mill_BTM,4,-19.971,-0.225,-21.3836927,0.726605,,,,,,,,,,
BG2023_221_COMP_mill_TOP,4,-20.734,-0.415,-22.1495158,0.544547,,,,,,,,,,
BG2023_221_COMP_mill_MID,4,-25.811,-0.093,-27.2453007,0.8530874,,,,,,,,,,
BG2023_221_COMP_mill_BTM,4,-25.148,0.592,-26.5798476,1.5094544,,,,,,,,,,
BG2023_55_COMP_mill_TOP,4,-17.328,-0.629,-18.7309136,0.3394922,,,,,,,,,,
BG2023_55_COMP_mill_MID,4,-18.742,-1.067,-20.1501454,-0.0801994,,,,,,,,,,
BG2023_55_COMP_mill_BTM,4,-22.626,0.067,-24.0485162,1.0063994,,,,,,,,,,
Protein_std,4,-25.475,5.121,-26.9080575,5.8491422,,,,,,,,,,
Sorghumflour_std,4,-12.254,0.821,-13.6381398,1.7288822,,,,,,,,,,
Peachleaves_std,4,-24.55,0.847,-25.979635,1.7537954,,,,,,,,,,
BG2023_1808_COMP_mill_TOP,4,-22.936,-2.187,-24.3596632,-1.1533834,,,,,,,,,,
BG2023_1808_COMP_mill_MID,4,-21.701,-1.374,-23.1200937,-0.3743668,,,,,,,,,,
BG2023_1808_COMP_mill_BTM,4,-22.245,-0.86,-23.6661065,0.118148,,,,,,,,,,
BG2023_320_COMP_mill_TOP,4,-24.614,-0.341,-26.0438718,0.6154538,,,,,,,,,,
BG2023_320_COMP_mill_MID,4,-26.584,-0.323,-28.0211608,0.6327014,,,,,,,,,,
BG2023_320_COMP_mill_BTM,4,-26.99,-0.02,-28.428663,0.923036,,,,,,,,,,
BG2023_1633_COMP_mill_TOP,4,-15.778,-1.541,-17.1751786,-0.5343862,,,,,,,,,,
BG2023_1633_COMP_mill_MID,4,-16.309,-1.306,-17.7081433,-0.3092092,,,,,,,,,,
BG2023_1633_COMP_mill_BTM,4,-16.164,-0.96,-17.5626068,0.022328,,,,,,,,,,
BG2023_1631_COMP_mill_TOP,4,-24.288,-0.699,-25.7166656,0.2724182,,,,,,,,,,
BG2023_1631_COMP_mill_MID,4,-23.615,-0.859,-25.0411755,0.1191062,,,,,,,,,,
BG2023_1631_COMP_mill_BTM,4,-25.644,-0.753,-27.0776828,0.2206754,,,,,,,,,,
BG2023_1637_COMP_mill_TOP,4,-22.801,-1.91,-24.2241637,-0.887962,,,,,,,,,,
BG2023_1637_COMP_mill_MID,4,-20.748,-1.392,-22.1635676,-0.3916144,,,,,,,,,,
BG2023_1637_COMP_mill_BTM,4,-24.615,-0.948,-26.0448755,0.0338264,,,,,,,,,,
BG2023_1669_COMP_mill_TOP,4,-23.661,-1.724,-25.0873457,-0.7097368,,,,,,,,,,
BG2023_1669_COMP_mill_MID,4,-24.576,-1.428,-26.0057312,-0.4261096,,,,,,,,,,
BG2023_1669_COMP_mill_BTM,4,-25.028,-1.294,-26.4594036,-0.2977108,,,,,,,,,,
Protein_std,4,-25.537,5.016,-26.9702869,5.7485312,,,,,,,,,,
Sorghumflour_std,4,-12.215,0.666,-13.5989955,1.5803612,,,,,,,,,,
Peachleaves_std,4,-24.728,0.868,-26.1582936,1.7739176,,,,,,,,,,
,,,,,,,,,,,,,,,
