Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
Protein_std,4,-25.531,5.378,-26.98,6.10,,,,,,,Protein Std 1,-25.531,-26.98,5.378,5.94
Sorghumflour_std,4,-12.06,0.919,-13.69,1.83,,,,,,,Protein Std 2,-25.456,-26.98,5.016,5.94
Peachleaves_std,4,-24.375,1.236,-25.84,2.13,,Protein Std 3,-19.883,-26.98,,,Sorghum Std 1,-12.06,-13.68,0.919,1.58
BG2023_272_COMP_mill_TOP,4,-25.655,1.352,-27.11,2.24,,Sorghum Std 3,-12.176,-13.68,,,Sorghum Std 2,-12.048,-13.68,0.684,1.58
BG2023_272_COMP_mill_MID,4,-26.306,0.044,-27.75,0.99,,Peach Leaf Std 3,-25.762,-25.95,,,Peach Leaf Std 1,-24.375,-25.95,1.236,2.04
BG2023_272_COMP_mill_BTM,4,-27.302,0.83,-28.73,1.74,,,,,,,Peach Leaf Std 2,-24.664,-25.95,0.803,2.04
BG2023_365_COMP_mill_TOP,4,-15.186,-1.183,-16.77,-0.19,,,,,,,,,,,
BG2023_365_COMP_mill_MID,4,-18.52,-0.988,-20.06,0.00,,,,,,,,,,,
BG2023_365_COMP_mill_BTM,4,-17.868,-0.63,-19.42,0.34,,,,,,,,,,,
BG2023_1841_COMP_mill_TOP,4,-19.913,-1.206,-21.44,-0.21,,,,,,,,,,,
BG2023_1841_COMP_mill_MID,4,-20.035,-1.561,-21.56,-0.55,,,,,,,,,,,
BG2023_1841_COMP_mill_BTM,4,-21.433,-1.332,-22.94,-0.33,,,,,,,,,,,
BG2023_5026_COMP_mill_TOP,4,-18.496,-0.801,-20.04,0.18,,,,,,,,,,,
BG2023_5026_COMP_mill_MID,4,-19.615,-0.058,-21.14,0.89,,,,,,,,,,,
BG2023_5026_COMP_mill_BTM,4,-19.003,-0.173,-20.54,0.78,,,,,,,,,,,
BG2023_1847_COMP_mill_TOP,4,-16.447,-1.523,-18.02,-0.52,,,,,,,,,,,
BG2023_1847_COMP_mill_MID,4,-15.404,-1.707,-16.99,-0.69,,,,,,,,,,,
BG2023_1847_COMP_mill_BTM,4,-14.52,-0.674,-16.11,0.30,,,,,,,,,,,
BG2023_349_COMP_mill_TOP,4,-14.137,3.905,-15.74,4.69,,,,,,,,,,,
BG2023_349_COMP_mill_MID,4,-13.696,3.584,-15.30,4.38,,,,,,,,,,,
BG2023_349_COMP_mill_BTM,4,-15.234,3.646,-16.82,4.44,,,,,,,,,,,
Protein_std,4,-25.456,5.016,-26.91,5.75,,,,,,,,,,,
Sorghumflour_std,4,-12.048,0.684,-13.67,1.60,,,,,,,,,,,
Peachleaves_std,4,-24.664,0.803,-26.13,1.71,,,,,,,,,,,
BG2023_1945_COMP_mill_TOP,4,-14.792,-1.229,-16.38,-0.23,,,,,,,,,,,
BG2023_1945_COMP_mill_MID,4,-14.629,-0.739,-16.22,0.24,,,,,,,,,,,
BG2023_1945_COMP_mill_BTM,4,-15.626,-0.905,-17.21,0.08,,,,,,,,,,,
BG2023_98_COMP_mill_TOP,4,-19.649,-0.69,-21.18,0.28,,,,,,,,,,,
BG2023_98_COMP_mill_MID,4,-20.513,0.087,-22.03,1.03,,,,,,,,,,,
BG2023_98_COMP_mill_BTM,4,-18.633,0.892,-20.17,1.80,,,,,,,,,,,
BG2023_303_COMP_mill_TOP,4,-18.798,0.17,-20.34,1.11,,,,,,,,,,,
BG2023_303_COMP_mill_MID,4,-18.374,-1.078,-19.92,-0.09,,,,,,,,,,,
BG2023_303_COMP_mill_BTM,4,-19.138,-0.718,-20.67,0.26,,,,,,,,,,,
BG2023_5040_COMP_mill_TOP,4,-22.135,-1.135,-23.63,-0.14,,,,,,,,,,,
BG2023_5040_COMP_mill_MID,4,-24.116,-0.538,-25.59,0.43,,,,,,,,,,,
BG2023_5040_COMP_mill_BTM,4,-24.702,-0.496,-26.17,0.47,,,,,,,,,,,
BG2023_57_COMP_mill_TOP,4,-18.811,-0.925,-20.35,0.06,,,,,,,,,,,
BG2023_57_COMP_mill_MID,4,-18.553,-0.702,-20.10,0.27,,,,,,,,,,,
BG2023_57_COMP_mill_BTM,4,-19.66,-0.581,-21.19,0.39,,,,,,,,,,,
BG2023_76_COMP_mill_TOP,4,-26.797,0.916,-28.23,1.82,,,,,,,,,,,
BG2023_1814_COMP_mill_TOP,4,-26.891,1.326,-28.33,2.22,,,,,,,,,,,
Protein_std,4,-19.883,-0.167,-21.41,0.78,,,,,,,,,,,
Sorghumflour_std,4,-25.762,4.994,-27.21,5.73,,,,,,,,,,,
Peachleaves_std,4,-12.176,0.528,-13.80,1.45,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
