Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp,,,,,,,
Protein_std,4,-25.549,5.382,-26.8776924,6.1971702,,,,,,Protein Std 1,-25.549,-26.98,5.382,5.94,,,,,,,
Sorghumflour_std,4,-12.276,1.216,-13.7692776,2.1307376,,,,,,Protein Std 2,-25.639,-26.98,4.872,5.94,,,,,,,
Peachleaves_std,4,-24.768,0.914,-26.1063768,1.8359554,,,,,,Protein Std 3,-25.512,-26.98,4.949,5.94,,,,,,,
BG2023_148_COMP_mill_TOP,4,-23.371,-0.956,-24.7266996,0.0106484,,,,,,Sorghum Std 1,-12.276,-13.68,1.216,1.58,,,,,,,
BG2023_148_COMP_mill_MID,4,-20.506,-0.796,-21.8972256,0.1668244,,,,,,Sorghum Std 2,-12.223,-13.68,0.987,1.58,,,,,,,
BG2023_148_COMP_mill_BTM,4,-21.249,0.01,-22.6310124,0.953561,,,,,,Sorghum Std 3,-12.045,-13.68,0.535,1.58,,,,,,,
BG2023_1816_COMP_mill_TOP,4,-24.226,-1.453,-25.5710976,-0.4744733,,,,,,Peach Leaf Std 1,-24.768,-25.95,1.216,2.04,,,,,,,
BG2023_1816_COMP_mill_MID,4,-24.65,-1.69,-25.98984,-0.705809,,,,,,Peach Leaf Std 2,-24.671,-25.95,0.987,2.04,,,,,,,
BG2023_1816_COMP_mill_BTM,4,-24.439,-0.718,-25.7814564,0.2429602,,,,,,Peach Leaf Std 3,-24.669,-25.95,0.535,2.04,,,,,,,
BG2023_1827_COMP_mill_TOP,4,-22.01,-0.66,-23.382576,0.299574,,,,,,,,,,,,,,,,,
BG2023_1827_COMP_mill_MID,4,-25.173,-0.225,-26.5063548,0.7241775,,,,,,,,,,,,,,,,,
BG2023_1827_COMP_mill_BTM,4,-24.629,-0.997,-25.9691004,-0.0293717,,,,,,,,,,,,,,,,,
BG2023_261_COMP_mill_TOP,4,-23.818,-1.472,-25.1681568,-0.4930192,,,,,,,,,,,,,,,,,
BG2023_261_COMP_mill_MID,4,-24.861,-1.41,-26.1982236,-0.432501,,,,,,,,,,,,,,,,,
BG2023_261_COMP_mill_BTM,4,-26.475,-0.188,-27.79221,0.7602932,,,,,,,,,,,,,,,,,
BG2023_12_COMP_mill_TOP,4,-20.417,0.633,-21.8093292,1.5616713,,,,,,,,,,,,,,,,,
BG2023_12_COMP_mill_MID,4,-22.108,0.572,-23.4793608,1.5021292,,,,,,,,,,,,,,,,,
BG2023_12_COMP_mill_BTM,4,-23.091,2.334,-24.4501716,3.2220174,,,,,,,,,,,,,,,,,
BG2023_1662_COMP_mill_TOP,4,-16.662,-2.376,-18.1008912,-1.3754136,,,,,,,,,,,,,,,,,
BG2023_1662_COMP_mill_MID,4,-16.804,-1.827,-18.2411304,-0.8395347,,,,,,,,,,,,,,,,,
BG2023_1662_COMP_mill_BTM,4,-17.04,-1.442,-18.474204,-0.4637362,,,,,,,,,,,,,,,,,
Protein_std,4,-25.639,4.872,-26.9665764,5.6993592,,,,,,,,,,,,,,,,,
Sorghumflour_std,4,-12.223,0.987,-13.7169348,1.9072107,,,,,,,,,,,,,,,,,
Peachleaves_std,4,-24.671,0.771,-26.0105796,1.6963731,,,,,,,,,,,,,,,,,
BG2023_5038_COMP_mill_TOP,4,-20.891,-0.787,-22.2774516,0.1756093,,,,,,,,,,,,,,,,,
BG2023_5038_COMP_mill_MID,4,-22.441,-1.633,-23.8082316,-0.6501713,,,,,,,,,,,,,,,,,
BG2023_5038_COMP_mill_BTM,4,-21.853,-0.767,-23.2275228,0.1951313,,,,,,,,,,,,,,,,,
BG2023_5634_COMP_mill_TOP,4,-17.346,-1.844,-18.7764096,-0.8561284,,,,,,,,,,,,,,,,,
