Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp
Protein_std,4,-25.51,5.207,-26.970783,6.1514784,,,,,Protein Std 1,-25.51,-26.98,5.207,5.94
Sorghumflour_std,4,-12.022,0.361,-13.5731526,1.8327232,,,,,Protein Std 2,-25.538,-26.98,4.861,5.94
Peachleaves_std,4,-24.374,0.543,-25.8423942,1.9949216,,,,,Protein Std 3,-25.711,-26.98,4.818,5.94
BG2023_244_SCAM_root_MID_coarse,4,-27.992,-0.171,-29.4361536,1.3586048,,,,,Sorghum Std 1,-12.022,-13.68,0.361,1.58
BG2023_244_SCAM_rhiz_MID_coarse,4,-27.814,-0.373,-29.2593462,1.1785824,,,,,Sorghum Std 2,-12.126,-13.68,-0.024,1.58
BG2023_244_SCAM_root_BTM_coarse,4,-27.208,0.036,-28.6574064,1.5430832,,,,,Sorghum Std 3,-12.264,-13.68,0.216,1.58
BG2023_1886_SCAM_root_TOP_coarse,4,-25.435,-1.87,-26.8962855,-0.155544,,,,,Peach Leaf Std 1,-24.374,-25.95,0.543,2.04
BG2023_1886_SCAM_rhiz_TOP_coarse,4,-25.622,-0.325,-27.0820326,1.22136,,,,,Peach Leaf Std 2,-24.36,-25.95,0.346,2.04
BG2023_1886_SCAM_stem_TOP_coarse,4,-25.192,-1.025,-26.6549136,0.59752,,,,,,,,,
BG2023_1886_SCAM_root_MID_coarse,4,-25.495,-0.946,-26.9558835,0.6679248,,,,,,,,,
BG2023_1886_SCAM_rhiz_MID_coarse,4,-25.594,-0.291,-27.0542202,1.2516608,,,,,,,,,
BG2023_1886_SCAM_stem_MID_coarse,4,-24.947,-1.385,-26.4115551,0.276688,,,,,,,,,
BG2023_1886_SCAM_root_BTM_coarse,4,-25.55,-0.459,-27.010515,1.1019392,,,,,,,,,
BG2023_1886_SCAM_rhiz_BTM_coarse,4,-25.524,-0.197,-26.9846892,1.3354336,,,,,,,,,
BG2023_1886_SCAM_stem_BTM_coarse,4,-25.688,-2.298,-27.1475904,-0.5369776,,,,,,,,,
BG2023_90_SCAM_composite_TOP_coarse,4,-27.958,-0.421,-29.4023814,1.1358048,,,,,,,,,
BG2023_90_SCAM_composite_MID_coarse,4,-28.129,-0.766,-29.5722357,0.8283408,,,,,,,,,
BG2023_90_SCAM_composite_BTM_coarse,4,-27.13,-0.565,-28.579929,1.007472,,,,,,,,,
BG2023_54_SCAM_composite_TOP_coarse,4,-27.695,-0.687,-29.1411435,0.8987456,,,,,,,,,
BG2023_54_SCAM_composite_MID_coarse,4,-27.703,-0.498,-29.1490899,1.0671824,,,,,,,,,
BG2023_54_SCAM_composite_BTM_coarse,4,-27.786,-0.251,-29.2315338,1.2873088,,,,,,,,,
Protein_std,4,-25.538,4.861,-26.9985954,5.8431232,,,,,,,,,
Sorghumflour_std,4,-12.126,-0.024,-13.6764558,1.4896112,,,,,,,,,
Peachleaves_std,4,-24.36,0.346,-25.828488,1.8193552,,,,,,,,,
BG2023_1621_SCAM_composite_TOP_coarse,4,-26.218,-1.903,-27.6740394,-0.1849536,,,,,,,,,
BG2023_1621_SCAM_composite_MID_coarse,4,-25.756,-1.444,-27.2151348,0.2241072,,,,,,,,,
BG2023_1621_SCAM_composite_BTM_coarse,4,-25.815,-0.89,-27.2737395,0.717832,,,,,,,,,
BG2023_314_SCAM_composite_TOP_coarse,4,-27.141,-0.698,-28.5908553,0.8889424,,,,,,,,,
BG2023_314_SCAM_composite_MID_coarse,4,-27.089,-1.136,-28.5392037,0.4985968,,,,,,,,,
BG2023_314_SCAM_composite_BTM_coarse,4,-26.787,-0.281,-28.2392271,1.2605728,,,,,,,,,
BG2023_1699_SCAM_composite_TOP_coarse,4,-25.691,-2.471,-27.1505703,-0.6911552,,,,,,,,,
BG2023_1699_SCAM_composite_MID_coarse,4,-25.184,-2.265,-26.6469672,-0.507568,,,,,,,,,
BG2023_1699_SCAM_composite_BTM_coarse,4,-25.531,-1.639,-26.9916423,0.0503232,,,,,,,,,
BG2023_1672_SCAM_composite_TOP_coarse,4,-25.601,-2.679,-27.0611733,-0.8765248,,,,,,,,,
BG2023_1672_SCAM_composite_MID_coarse,4,-25.201,-1.773,-26.6638533,-0.0690976,,,,,,,,,
BG2023_1672_SCAM_composite_BTM_coarse,4,-25.666,-1.714,-27.1257378,-0.0165168,,,,,,,,,
BG2023_85_SCAM_composite_TOP_coarse,4,-27.962,-1.454,-29.4063546,0.2151952,,,,,,,,,
BG2023_85_SCAM_composite_MID_coarse,4,-27.614,-1.499,-29.0606862,0.1750912,,,,,,,,,
BG2023_85_SCAM_composite_BTM_coarse,4,-27.676,-1.395,-29.1222708,0.267776,,,,,,,,,
BG2023_1933_SCAM_composite_TOP_coarse,4,-26.643,-0.493,-28.0961919,1.0716384,,,,,,,,,
BG2023_1933_SCAM_composite_MID_coarse,4,-26.269,-0.659,-27.7246977,0.9236992,,,,,,,,,
BG2023_1933_SCAM_composite_BTM_coarse,4,-26.479,-0.049,-27.9332907,1.4673312,,,,,,,,,
Protein_std,2,-25.711,4.818,-27.1704363,5.8048016,,,,,,,,,
Sorghumflour_std,4,-12.264,0.216,-13.8135312,1.7034992,,,,,,,,,
